# Constructed from biom file																							
#OTU ID	S1	S10	S11	S12	S13	S15	S16	S17	S18	S2	S20	S21	S22	S23	S24	S3	S4	S5	S6	S7	S8	S9	Taxonomy
5951	0	36	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
5952	0	28	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__Conexibacter; s__
5953	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
5954	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6
5955	0	24	0	0	0	0	0	0	0	0	10	0	0	0	21	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
5956	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae; g__Ktedonobacter; s__racemifer
5957	0	18	0	0	0	0	0	0	0	0	25	0	0	0	12	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
5958	0	18	0	0	0	0	0	0	0	0	10	0	5	11	6	0	0	0	0	0	0	5	k__Bacteria
5959	0	11	0	0	0	0	0	0	0	0	15	0	0	0	20	0	0	0	0	0	0	9	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__Gaiella; s__occulta
5960	0	10	35	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria
5961	0	6	8	0	0	0	0	4	0	0	0	0	16	0	0	0	0	0	0	12	0	9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Anaerospora; s__hongkongensis
5962	0	0	21	0	0	0	0	0	0	0	0	4	21	0	0	0	0	0	0	0	9	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__JG30-KF-AS9; f__; g__; s__
5963	0	0	16	16	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__Gaiella; s__occulta
5964	0	0	11	0	18	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	14	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__Candidatus Koribacter; s__versatilis
5965	0	0	10	24	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales
5966	0	0	9	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria
5967	0	0	0	11	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	7	0	12	k__Bacteria; p__Chlorobi; c__BSV26; o__PK329; f__; g__; s__
5968	0	0	0	10	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__[Pedosphaeraceae]; g__; s__
5969	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Stramenopiles; f__; g__; s__
5970	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Armatimonadetes; c__SJA-176
5971	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
5972	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__subterminale
5973	0	0	0	0	43	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinomadura
5974	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	k__Bacteria; p__NC10; c__12-24; o__; f__; g__; s__
5975	0	0	0	0	13	0	0	19	23	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria
5976	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
5977	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__; c__; o__; f__; g__; s__
5978	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__[Clostridium]
5979	0	0	0	0	0	28	0	0	0	0	0	22	0	0	0	5	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
5980	0	0	0	0	0	17	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria
5981	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	42	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae
5982	0	0	0	0	0	0	27	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Nitrobacteria; s__hamadaniensis
5983	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	12	16	0	16	0	0	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__
5984	0	0	0	0	0	0	11	6	26	0	0	0	0	0	0	0	12	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Skermanella; s__xinjiangensis
5985	0	0	0	0	0	0	4	0	19	0	0	0	0	0	32	0	0	0	0	0	0	0	k__Bacteria; p__; c__; o__; f__; g__; s__
5986	0	0	0	0	0	0	0	12	13	6	0	0	0	0	0	7	17	0	0	0	0	0	k__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanocellales; f__Methanocellaceae; g__Methanocella; s__
5987	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	23	20	0	0	0	k__Bacteria
5988	0	0	0	0	0	0	0	12	11	0	0	0	7	0	0	14	11	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae
5989	0	0	0	0	0	0	0	10	45	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Skermanella; s__xinjiangensis
5990	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	37	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae
5991	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Chloroflexi; c__TK17; o__; f__; g__; s__
5992	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__JG30-KF-AS9; f__; g__; s__
5993	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria
5994	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__
5995	0	0	0	0	0	0	0	0	0	0	20	0	0	0	35	0	0	0	0	0	0	0	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__; f__; g__; s__
5996	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0	0	11	20	0	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Telmatobacter; s__bradus
5997	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	k__Bacteria
5998	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Herbiconiux
5999	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	46	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
6000	0	0	0	0	0	0	0	0	0	0	0	0	38	0	17	0	0	0	0	0	0	0	k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__0319-6A21; g__; s__
6001	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	k__Bacteria; p__Chlorobi; c__BSV26; o__PK329; f__; g__; s__
6002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
6003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae
6004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	14	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae; g__Ktedonobacter; s__racemifer
6005	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
6006	28	0	12	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Micromonospora
6007	12	0	0	0	0	0	0	4	0	11	0	0	0	0	0	0	0	19	8	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinospicaceae; g__Actinospica
6008	12	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
6009	5	0	0	0	0	0	12	9	9	0	0	0	0	0	0	13	0	0	6	0	0	0	k__Bacteria; p__; c__; o__; f__; g__; s__
6010	3	0	0	12	0	0	0	0	0	0	0	18	7	0	0	0	0	0	0	5	9	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacteraceae
6011	0	15	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	21	0	k__Bacteria; p__; c__; o__; f__; g__; s__
6012	0	14	0	0	0	0	0	0	0	0	36	0	0	4	0	0	0	0	0	0	0	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__
6013	0	4	0	0	0	0	0	0	0	0	3	0	0	0	32	5	8	0	0	0	2	0	k__Bacteria; p__Chloroflexi; c__TK10; o__B07_WMSP1; f__; g__; s__
6014	0	0	25	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
6015	0	0	23	0	0	0	0	0	0	0	0	13	9	9	0	0	0	0	0	0	0	0	k__Bacteria
6016	0	0	20	11	0	11	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__; f__; g__; s__
6017	0	0	17	26	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__[Pedosphaeraceae]; g__; s__
6018	0	0	13	16	0	0	0	0	0	0	0	12	0	0	0	0	0	13	0	0	0	0	k__Bacteria; p__; c__; o__; f__; g__; s__
6019	0	0	8	17	0	0	0	0	0	0	19	0	10	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__
6020	0	0	8	7	0	0	0	0	0	0	6	8	4	0	0	0	0	0	0	14	0	7	k__Bacteria; p__Acidobacteria; c__iii1-8; o__SJA-36; f__; g__; s__
6021	0	0	7	22	0	0	0	5	0	0	0	20	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
6022	0	0	6	5	0	0	0	0	10	0	0	15	0	0	0	0	4	14	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae; g__Rhodococcus; s__equi
6023	0	0	0	18	0	0	0	0	13	4	0	0	8	0	0	0	0	0	0	0	7	4	k__Bacteria; p__Actinobacteria
6024	0	0	0	15	0	0	0	0	0	0	0	5	34	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__A31; f__; g__; s__
6025	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__
6026	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolinaceae; g__Anaerolinea; s__
6027	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__; s__
6028	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__WS4; c__; o__; f__; g__; s__
6029	0	0	0	0	34	0	0	4	12	0	0	0	0	0	0	0	4	0	0	0	0	0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales
6030	0	0	0	0	23	0	10	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae; g__Ktedonobacter; s__racemifer
6031	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
6032	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae
6033	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
6034	0	0	0	0	0	0	41	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae
6035	0	0	0	0	0	0	27	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__B12-WMSP1; f__; g__; s__
6036	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	21	15	0	0	0	0	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__
6037	0	0	0	0	0	0	13	0	33	0	0	0	0	0	0	0	0	0	8	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae
6038	0	0	0	0	0	0	12	8	19	0	9	0	0	0	0	6	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinosynnemataceae
6039	0	0	0	0	0	0	10	0	15	14	0	0	0	0	0	0	0	0	15	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Aneurinibacillus; s__terranovensis
6040	0	0	0	0	0	0	0	0	28	8	0	0	0	0	0	0	18	0	0	0	0	0	k__Bacteria
6041	0	0	0	0	0	0	0	0	0	0	42	0	0	0	12	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__Desulfovirga; s__adipica
6042	0	0	0	0	0	0	0	0	0	0	38	0	0	16	0	0	0	0	0	0	0	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__
6043	0	0	0	0	0	0	0	0	0	0	15	0	12	17	10	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Skermanella; s__xinjiangensis
6044	0	0	0	0	0	0	0	0	0	0	15	10	12	6	11	0	0	0	0	0	0	0	k__Bacteria; p__; c__; o__; f__; g__; s__
6045	0	0	0	0	0	0	0	0	0	0	9	0	0	36	0	0	0	0	0	0	9	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__; f__; g__; s__
6046	0	0	0	0	0	0	0	0	0	0	0	19	0	27	0	0	0	0	8	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae
6047	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	32	0	0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales
6048	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	36	0	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__Candidatus Koribacter; s__versatilis
6049	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	22	0	0	0	0	0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__PK34; g__; s__
6050	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	15	0	10	k__Bacteria; p__; c__; o__; f__; g__; s__
6051	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	33	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
6052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	k__Bacteria
6053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	11	k__Bacteria
6054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	20	0	0	0	0	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__JG30-KF-AS9; f__; g__; s__
6055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	22	0	0	0	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae; g__Ktedonobacter; s__racemifer
6056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__tuberum
6057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	k__Bacteria
6058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	3	0	0	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__B12-WMSP1; f__; g__; s__
6059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales
6060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	33	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Pelobacteraceae; g__Desulfuromonas
6061	23	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0	0	0	12	0	0	0	k__Bacteria; p__; c__; o__; f__; g__; s__
6062	18	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
6063	14	0	24	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__MVS-65; g__; s__
6064	13	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__Gaiella; s__occulta
6065	11	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium
6066	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__
6067	9	0	0	0	18	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria
6068	6	0	0	0	38	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
6069	2	0	0	0	0	34	0	7	0	0	0	1	0	0	0	0	0	0	5	4	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
6070	0	24	7	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	12	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria
6071	0	24	0	0	0	0	0	0	0	0	6	0	5	0	1	0	0	0	0	0	17	0	k__Bacteria
6072	0	21	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	18	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria
6073	0	15	0	0	0	0	0	0	0	0	0	12	14	12	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus
6074	0	15	0	0	0	0	0	0	0	0	14	3	0	12	9	0	0	0	0	0	0	0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__A31; f__; g__; s__
6075	0	8	0	0	0	0	0	13	0	0	0	0	0	13	0	9	0	0	0	0	0	10	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae; g__Alicyclobacillus
6076	0	4	0	0	0	0	0	0	0	0	6	4	0	13	9	0	0	0	0	10	1	6	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae
6077	0	0	18	0	0	0	0	0	0	0	0	22	5	0	0	0	0	0	0	0	8	0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__
6078	0	0	16	10	0	0	0	0	0	0	15	0	0	0	12	0	0	0	0	0	0	0	k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__
6079	0	0	15	0	0	0	0	6	0	0	0	32	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__
6080	0	0	9	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
6081	0	0	8	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__; s__
6082	0	0	8	0	0	0	0	0	0	0	0	13	20	0	0	0	0	0	0	2	10	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacteraceae; g__Cystobacter; s__fuscus
6083	0	0	8	0	0	0	0	0	0	0	0	28	17	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae
6084	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
6085	0	0	0	20	0	0	7	0	0	0	11	0	0	0	0	15	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
6086	0	0	0	7	0	0	0	17	9	0	0	5	0	0	0	0	0	0	15	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium
6087	0	0	0	5	0	0	0	5	0	0	0	0	11	17	0	0	0	0	0	15	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae
6088	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium
6089	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__
6090	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolinaceae; g__Leptolinea; s__tardivitalis
6091	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria
6092	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae; g__Ktedonobacter; s__racemifer
6093	0	0	0	0	39	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Pelobacteraceae; g__Desulfuromonas; s__michiganensis
6094	0	0	0	0	27	0	6	0	0	0	0	0	0	3	0	0	0	0	0	17	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
6095	0	0	0	0	20	0	0	0	4	0	0	20	0	0	0	0	5	0	0	4	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__sulfonivorans
6096	0	0	0	0	2	29	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium
6097	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
6098	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__Desulfovirga; s__adipica
6099	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Acidobacteria; c__iii1-8
