# Constructed from biom file																							
#OTU ID	S1	S10	S11	S12	S13	S15	S16	S17	S18	S2	S20	S21	S22	S23	S24	S3	S4	S5	S6	S7	S8	S9	Taxonomy
31	418	12	0	0	285	432	727	516	550	470	0	6	0	19	0	874	787	590	1729	29	10	139	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae
32	0	637	30	59	63	0	0	0	0	51	2496	74	128	635	1385	0	0	0	0	173	975	694	k__Bacteria; p__AD3; c__; o__; f__; g__; s__
33	939	31	278	228	773	1160	414	295	361	356	37	126	187	31	0	395	498	210	514	286	164	61	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
34	496	211	839	709	184	192	142	93	156	241	105	771	272	100	205	201	356	393	414	622	320	269	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Rugosimonospora; s__acidiphila
35	11	749	652	479	4	0	0	0	0	18	427	730	712	494	324	0	0	0	0	796	1078	784	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae
36	1214	166	521	545	565	51	371	43	140	552	0	907	296	18	36	316	461	32	407	54	203	223	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Xanthobacter; s__flavus
37	524	31	124	100	548	598	480	408	856	507	43	64	84	98	26	573	676	397	613	116	93	107	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
38	96	808	464	432	156	43	21	27	22	70	559	461	1296	391	216	112	80	262	184	472	411	412	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacteraceae
39	0	702	30	55	0	0	0	0	0	0	1303	11	27	2783	108	0	0	0	0	194	219	1349	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__
40	373	814	250	176	427	95	309	7	40	961	464	157	294	199	471	287	402	0	0	36	406	526	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
41	173	230	49	69	368	308	579	321	657	714	276	73	131	442	349	106	327	166	633	178	235	235	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae
42	0	2628	0	0	0	0	0	0	0	0	642	61	153	332	1268	0	0	0	0	62	914	547	k__Bacteria; p__; c__; o__; f__; g__; s__
43	0	523	345	278	0	0	0	0	0	0	831	309	564	546	658	0	0	0	0	669	1317	563	k__Bacteria; p__Chloroflexi; c__TK10; o__B07_WMSP1; f__; g__; s__
44	2719	0	0	0	1031	0	0	0	0	2666	0	0	0	0	0	25	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae
45	465	157	259	237	635	489	356	126	300	314	208	294	206	279	121	153	476	195	356	255	174	307	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae
46	94	316	703	492	106	0	12	23	56	45	584	469	895	468	132	44	36	51	49	793	555	435	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Frankiaceae; g__Actinomycetales; s__Ellin122
47	504	219	298	310	704	320	109	123	141	248	399	251	413	262	171	293	354	189	106	197	372	231	k__Bacteria; p__Actinobacteria
48	341	196	410	452	211	172	98	31	80	439	334	583	497	477	563	165	192	12	107	357	216	192	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__gordonae
49	90	976	463	237	284	0	0	61	0	168	515	183	188	396	176	0	0	119	35	536	535	1080	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinomadura
50	92	297	228	352	123	31	1391	100	181	268	214	22	171	691	116	503	536	20	45	101	87	395	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__
51	239	0	0	0	443	765	1138	149	611	403	0	0	0	0	0	519	433	282	733	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
52	37	788	637	331	101	0	0	0	0	60	889	252	477	459	361	0	0	0	0	204	512	573	k__Bacteria; p__Actinobacteria
53	375	67	469	397	304	412	279	234	230	54	143	268	360	128	27	394	523	222	119	277	263	128	k__Bacteria; p__Actinobacteria
54	543	314	718	691	256	26	38	20	60	148	184	584	466	137	119	109	172	129	26	117	432	241	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__Gaiella; s__occulta
