;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal
;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry
;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;AH;Soil
;P01;P01;P01;P01;P03;P03;P03;P03;P02;P02;P02;P02;P01;P01;P01;P01;P03;P03;P03;P03;P02;P02;P02;P02
Time;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts
5.163;158.00;25832.00;286.00;337.00;1940.00;1098.00;4809.00;0.00;614.00;1650.00;10723.00;0.00;0.00;0.00;126504.00;0.00;420.00;0.00;8748.00;0.00;768.00;5682.00;1137.00;0.00
5.168;0.00;24560.00;341.00;387.00;1302.00;1454.00;4952.00;0.00;654.00;1907.00;11374.00;0.00;0.00;0.00;129044.00;0.00;517.00;0.00;8784.00;0.00;567.00;4840.00;1490.00;172.00
5.174;0.00;25982.00;376.00;756.00;2105.00;1099.00;4712.00;0.00;1021.00;1936.00;10297.00;0.00;0.00;0.00;127395.00;0.00;555.00;0.00;9690.00;0.00;1194.00;4865.00;1247.00;0.00
5.180;0.00;25885.00;240.00;542.00;1953.00;1178.00;5234.00;0.00;1085.00;2332.00;10907.00;0.00;0.00;0.00;127788.00;0.00;590.00;0.00;9763.00;0.00;961.00;6479.00;1368.00;0.00
5.186;159.00;24294.00;444.00;161.00;2517.00;1230.00;4249.00;201.00;1266.00;2002.00;10484.00;0.00;0.00;0.00;127649.00;0.00;525.00;0.00;9404.00;0.00;1138.00;5097.00;1460.00;435.00
5.191;0.00;26048.00;454.00;629.00;1758.00;1212.00;4125.00;0.00;1035.00;1529.00;11139.00;0.00;0.00;0.00;129686.00;0.00;416.00;0.00;9616.00;0.00;991.00;4599.00;1327.00;0.00
5.197;0.00;26083.00;331.00;626.00;1939.00;1353.00;4934.00;167.00;1203.00;2488.00;9704.00;155.00;0.00;0.00;129372.00;0.00;815.00;0.00;9018.00;0.00;916.00;5361.00;1290.00;211.00
5.203;0.00;23807.00;270.00;565.00;2584.00;833.00;4661.00;333.00;714.00;1858.00;10222.00;0.00;168.00;0.00;126398.00;0.00;671.00;0.00;8920.00;0.00;750.00;5423.00;1066.00;0.00
5.208;150.00;25173.00;565.00;721.00;2370.00;1324.00;4186.00;0.00;1089.00;1548.00;10979.00;0.00;0.00;152.00;128329.00;0.00;756.00;0.00;8456.00;0.00;1098.00;5153.00;1383.00;385.00
5.214;158.00;25950.00;396.00;537.00;1991.00;1208.00;4736.00;0.00;1045.00;1409.00;11093.00;0.00;0.00;0.00;125608.00;0.00;414.00;0.00;9090.00;0.00;1038.00;4970.00;1253.00;0.00
5.220;0.00;24947.00;400.00;1066.00;1515.00;946.00;5008.00;0.00;643.00;2298.00;9918.00;0.00;0.00;0.00;129987.00;0.00;676.00;0.00;9497.00;0.00;889.00;4961.00;1371.00;0.00
5.226;0.00;25986.00;327.00;483.00;2324.00;1735.00;4671.00;0.00;875.00;1453.00;10376.00;0.00;0.00;0.00;126952.00;0.00;740.00;151.00;8375.00;0.00;1425.00;4660.00;1196.00;0.00
5.231;0.00;26947.00;297.00;791.00;2107.00;1245.00;4856.00;0.00;604.00;1905.00;10467.00;0.00;0.00;0.00;127953.00;0.00;706.00;0.00;8022.00;0.00;1251.00;4769.00;1432.00;0.00
5.237;0.00;26637.00;293.00;336.00;1876.00;723.00;4791.00;167.00;828.00;1420.00;11025.00;0.00;0.00;0.00;127391.00;0.00;1223.00;0.00;9185.00;0.00;1032.00;5594.00;1220.00;168.00
5.243;0.00;25062.00;366.00;684.00;2053.00;705.00;4248.00;0.00;1095.00;1715.00;10929.00;0.00;0.00;0.00;125430.00;0.00;827.00;0.00;10144.00;0.00;979.00;6273.00;1222.00;0.00
5.248;171.00;25314.00;379.00;805.00;1910.00;1465.00;5157.00;159.00;1559.00;1790.00;10261.00;0.00;0.00;0.00;125333.00;0.00;777.00;0.00;8341.00;0.00;992.00;5833.00;1327.00;0.00
5.254;0.00;26296.00;551.00;939.00;2162.00;1116.00;5461.00;0.00;908.00;2003.00;9917.00;0.00;0.00;0.00;127538.00;0.00;877.00;0.00;10029.00;0.00;1117.00;5595.00;1478.00;0.00
5.260;0.00;26791.00;321.00;586.00;1879.00;1171.00;5268.00;0.00;738.00;1832.00;9835.00;0.00;0.00;0.00;124512.00;0.00;758.00;0.00;9969.00;0.00;1170.00;4350.00;1283.00;0.00
5.266;0.00;25065.00;298.00;182.00;2213.00;895.00;5438.00;0.00;1336.00;1431.00;11443.00;0.00;0.00;0.00;128554.00;0.00;539.00;0.00;9627.00;0.00;1080.00;4613.00;1538.00;0.00
5.271;0.00;26435.00;419.00;468.00;2291.00;1357.00;5397.00;151.00;876.00;1637.00;10485.00;0.00;159.00;0.00;125487.00;0.00;819.00;0.00;9947.00;0.00;838.00;4658.00;1365.00;0.00
5.277;0.00;25804.00;401.00;530.00;1862.00;908.00;5118.00;0.00;904.00;1951.00;10127.00;0.00;0.00;0.00;129664.00;0.00;987.00;0.00;9443.00;0.00;924.00;5382.00;1551.00;0.00
5.283;0.00;25135.00;445.00;336.00;1995.00;1307.00;5389.00;328.00;970.00;1514.00;9935.00;0.00;193.00;0.00;124210.00;0.00;667.00;0.00;9710.00;0.00;810.00;5198.00;1281.00;156.00
5.289;0.00;26271.00;407.00;581.00;1489.00;1157.00;4675.00;0.00;464.00;2084.00;11722.00;0.00;0.00;0.00;126624.00;0.00;1009.00;0.00;9573.00;0.00;937.00;5774.00;1605.00;179.00
5.294;0.00;26137.00;525.00;477.00;2546.00;1623.00;5804.00;0.00;964.00;1813.00;10731.00;154.00;0.00;0.00;125330.00;0.00;663.00;0.00;8641.00;0.00;1185.00;5224.00;1152.00;0.00
5.300;0.00;23840.00;789.00;588.00;1867.00;1569.00;4487.00;187.00;1497.00;2043.00;11309.00;0.00;150.00;0.00;125036.00;0.00;633.00;0.00;8155.00;0.00;705.00;5150.00;1159.00;0.00
5.306;0.00;25122.00;461.00;353.00;1952.00;1247.00;4935.00;0.00;712.00;1982.00;10543.00;0.00;0.00;0.00;126476.00;0.00;589.00;0.00;9512.00;0.00;1173.00;4287.00;1496.00;215.00
5.311;0.00;24802.00;537.00;405.00;1906.00;1854.00;4453.00;0.00;554.00;1505.00;10966.00;0.00;0.00;0.00;125624.00;0.00;629.00;0.00;9958.00;0.00;1230.00;5746.00;1432.00;0.00
5.317;0.00;26250.00;345.00;763.00;1425.00;1167.00;5858.00;0.00;671.00;1800.00;10650.00;0.00;0.00;0.00;124404.00;0.00;459.00;0.00;9709.00;0.00;901.00;4365.00;1378.00;0.00
5.323;201.00;24838.00;280.00;150.00;1722.00;609.00;4796.00;153.00;777.00;1893.00;10860.00;0.00;0.00;162.00;126129.00;0.00;420.00;0.00;9426.00;0.00;523.00;4877.00;1442.00;181.00
5.329;0.00;26166.00;442.00;576.00;1965.00;1496.00;4989.00;167.00;797.00;1929.00;11077.00;0.00;0.00;0.00;125296.00;0.00;1024.00;0.00;8692.00;0.00;584.00;4314.00;1680.00;0.00
5.334;0.00;25920.00;350.00;827.00;1646.00;1025.00;6072.00;196.00;673.00;1544.00;11844.00;0.00;168.00;0.00;125843.00;0.00;840.00;0.00;9689.00;0.00;645.00;4258.00;1649.00;0.00
5.340;0.00;25165.00;414.00;462.00;2430.00;1079.00;6339.00;0.00;910.00;1758.00;10563.00;395.00;0.00;0.00;121697.00;0.00;976.00;0.00;10439.00;0.00;1036.00;4520.00;1226.00;150.00
5.346;0.00;24963.00;259.00;448.00;2075.00;1269.00;4910.00;0.00;455.00;1591.00;10661.00;219.00;159.00;0.00;124603.00;0.00;629.00;0.00;8200.00;0.00;1227.00;4332.00;1668.00;0.00
5.351;0.00;24586.00;335.00;173.00;2091.00;1335.00;5024.00;422.00;505.00;1832.00;11832.00;0.00;0.00;0.00;122456.00;0.00;763.00;0.00;9588.00;0.00;945.00;5099.00;1734.00;0.00
5.357;233.00;25794.00;319.00;352.00;2379.00;1035.00;5690.00;240.00;615.00;2004.00;10600.00;0.00;0.00;0.00;123851.00;0.00;819.00;0.00;9868.00;0.00;1097.00;4415.00;1526.00;0.00
5.363;0.00;24918.00;252.00;956.00;2029.00;730.00;4619.00;193.00;439.00;1439.00;10374.00;151.00;0.00;0.00;122736.00;0.00;590.00;0.00;10626.00;0.00;1257.00;5346.00;1351.00;153.00
5.369;0.00;24289.00;330.00;554.00;1569.00;1442.00;5383.00;0.00;1209.00;1492.00;10802.00;173.00;0.00;0.00;121967.00;0.00;839.00;0.00;9521.00;0.00;932.00;4021.00;1784.00;0.00
5.374;0.00;26007.00;370.00;569.00;2300.00;1555.00;5145.00;213.00;745.00;1105.00;10690.00;0.00;0.00;0.00;122350.00;0.00;942.00;205.00;9291.00;0.00;1335.00;4929.00;1189.00;0.00
5.380;324.00;24184.00;347.00;322.00;2044.00;1284.00;5079.00;175.00;800.00;2076.00;10624.00;0.00;0.00;0.00;122406.00;0.00;625.00;0.00;8987.00;0.00;1634.00;4796.00;1310.00;0.00
5.386;0.00;24752.00;626.00;337.00;1831.00;987.00;6115.00;0.00;748.00;1826.00;10820.00;153.00;0.00;155.00;124404.00;0.00;586.00;0.00;9101.00;0.00;977.00;4717.00;1447.00;0.00
5.392;0.00;25354.00;596.00;742.00;2132.00;1354.00;5733.00;176.00;586.00;1837.00;10804.00;0.00;151.00;0.00;121046.00;0.00;702.00;0.00;8660.00;0.00;1371.00;5240.00;1404.00;0.00
5.397;0.00;26149.00;380.00;774.00;2080.00;1289.00;6236.00;0.00;774.00;1439.00;12251.00;157.00;151.00;186.00;123074.00;0.00;677.00;0.00;8732.00;0.00;1241.00;4275.00;1305.00;0.00
5.403;0.00;24258.00;785.00;647.00;1909.00;939.00;5682.00;0.00;1114.00;1851.00;10792.00;0.00;0.00;0.00;123548.00;0.00;652.00;0.00;9258.00;0.00;1079.00;4635.00;1569.00;0.00
5.409;152.00;25096.00;727.00;336.00;2556.00;1136.00;5615.00;0.00;479.00;1526.00;11437.00;0.00;0.00;0.00;123232.00;0.00;839.00;0.00;10063.00;0.00;793.00;4422.00;1448.00;0.00
5.414;0.00;25845.00;432.00;453.00;2000.00;817.00;6541.00;163.00;1165.00;1742.00;11068.00;0.00;0.00;152.00;121648.00;0.00;1259.00;0.00;10376.00;0.00;895.00;5317.00;1574.00;0.00
5.420;173.00;25605.00;422.00;391.00;1788.00;1100.00;4769.00;157.00;1132.00;1552.00;11965.00;0.00;0.00;0.00;120554.00;0.00;863.00;0.00;10524.00;0.00;1257.00;4527.00;1862.00;0.00
5.426;0.00;25497.00;382.00;380.00;1889.00;1105.00;4845.00;0.00;604.00;1288.00;11484.00;0.00;0.00;169.00;119197.00;0.00;828.00;0.00;10210.00;0.00;1059.00;5236.00;1730.00;0.00
5.432;0.00;25204.00;540.00;576.00;1875.00;1076.00;5676.00;0.00;403.00;1443.00;10541.00;153.00;218.00;156.00;121605.00;0.00;876.00;0.00;10073.00;0.00;1110.00;3909.00;1742.00;151.00
5.437;169.00;25147.00;425.00;640.00;2226.00;1397.00;5162.00;0.00;689.00;1714.00;11965.00;0.00;0.00;0.00;123538.00;0.00;717.00;0.00;9703.00;0.00;1591.00;4804.00;1496.00;0.00
5.443;0.00;25256.00;651.00;729.00;1655.00;780.00;4697.00;0.00;930.00;1431.00;11795.00;189.00;0.00;0.00;119816.00;0.00;825.00;0.00;9587.00;0.00;872.00;4244.00;1718.00;0.00
5.449;0.00;25256.00;294.00;1027.00;1956.00;1197.00;5667.00;179.00;564.00;1830.00;10916.00;0.00;0.00;0.00;122218.00;0.00;982.00;177.00;9338.00;0.00;1015.00;5155.00;1670.00;0.00
5.454;0.00;25208.00;557.00;627.00;1907.00;1284.00;5212.00;0.00;676.00;2231.00;11095.00;0.00;0.00;0.00;118575.00;0.00;1039.00;0.00;9271.00;0.00;1210.00;5129.00;1746.00;0.00
5.460;0.00;24980.00;646.00;732.00;2242.00;1018.00;5557.00;0.00;693.00;2021.00;10814.00;187.00;164.00;0.00;120822.00;0.00;994.00;0.00;8918.00;0.00;816.00;4936.00;1795.00;0.00
5.466;0.00;24728.00;501.00;154.00;1560.00;1213.00;5342.00;156.00;1232.00;1656.00;12026.00;0.00;0.00;0.00;122275.00;0.00;1102.00;0.00;9347.00;0.00;1143.00;5066.00;1645.00;152.00
5.472;321.00;25202.00;423.00;418.00;2016.00;1137.00;4985.00;317.00;984.00;2501.00;11523.00;0.00;0.00;0.00;119574.00;0.00;1097.00;0.00;10357.00;0.00;651.00;5105.00;1770.00;0.00
5.477;0.00;23591.00;484.00;792.00;1999.00;1527.00;4987.00;0.00;1115.00;1702.00;11524.00;0.00;0.00;0.00;121692.00;0.00;874.00;0.00;10637.00;0.00;1007.00;4910.00;1678.00;227.00
5.483;0.00;24818.00;538.00;708.00;2109.00;1018.00;5444.00;0.00;436.00;1064.00;11326.00;0.00;0.00;156.00;121045.00;0.00;909.00;0.00;8769.00;0.00;1015.00;5221.00;1635.00;164.00
5.489;0.00;23938.00;672.00;698.00;2369.00;1144.00;5708.00;0.00;842.00;1864.00;10908.00;0.00;0.00;0.00;117770.00;0.00;803.00;0.00;9207.00;0.00;1038.00;4499.00;1817.00;0.00
5.495;0.00;23496.00;449.00;494.00;2407.00;1369.00;5751.00;0.00;723.00;1771.00;11691.00;192.00;0.00;0.00;118186.00;0.00;1058.00;0.00;10236.00;0.00;1404.00;4355.00;1820.00;0.00
5.500;0.00;25557.00;576.00;384.00;1794.00;956.00;5688.00;215.00;753.00;1864.00;10938.00;0.00;157.00;0.00;119656.00;0.00;1158.00;0.00;9100.00;0.00;967.00;3945.00;1736.00;0.00
5.506;177.00;25880.00;553.00;678.00;1678.00;996.00;5016.00;0.00;696.00;1927.00;11553.00;0.00;0.00;0.00;119811.00;0.00;1139.00;0.00;9916.00;0.00;688.00;5099.00;1662.00;0.00
5.512;0.00;23570.00;595.00;377.00;2204.00;1216.00;5216.00;184.00;796.00;1707.00;11522.00;0.00;0.00;0.00;118402.00;0.00;838.00;0.00;9497.00;0.00;1069.00;4556.00;2036.00;0.00
5.517;0.00;24584.00;237.00;214.00;2032.00;1250.00;4452.00;216.00;929.00;1768.00;11173.00;0.00;0.00;0.00;121367.00;0.00;909.00;0.00;10062.00;0.00;711.00;4879.00;1795.00;164.00
5.523;0.00;23770.00;766.00;512.00;2047.00;996.00;5599.00;159.00;837.00;1648.00;10951.00;0.00;0.00;0.00;119277.00;0.00;1040.00;0.00;8782.00;0.00;821.00;4776.00;1850.00;0.00
5.529;0.00;24526.00;388.00;590.00;2021.00;1280.00;6401.00;178.00;1146.00;1928.00;11508.00;0.00;0.00;0.00;117834.00;0.00;906.00;0.00;9381.00;0.00;1170.00;4301.00;1999.00;0.00
5.535;0.00;25014.00;577.00;765.00;1706.00;1313.00;4804.00;186.00;1115.00;1706.00;11210.00;0.00;0.00;152.00;117360.00;0.00;656.00;0.00;8886.00;0.00;1353.00;4303.00;1772.00;0.00
5.540;161.00;24766.00;429.00;910.00;1930.00;1041.00;4867.00;190.00;1196.00;2202.00;11596.00;0.00;0.00;0.00;120612.00;0.00;1069.00;0.00;9232.00;0.00;1195.00;4314.00;2189.00;0.00
5.546;159.00;23159.00;393.00;444.00;1824.00;1496.00;5451.00;152.00;946.00;1813.00;12130.00;0.00;0.00;0.00;118333.00;0.00;1034.00;0.00;9008.00;0.00;915.00;4429.00;1894.00;0.00
5.552;0.00;23752.00;548.00;820.00;1312.00;1510.00;5250.00;0.00;457.00;2183.00;10808.00;0.00;0.00;0.00;116446.00;0.00;785.00;0.00;9638.00;0.00;921.00;4452.00;1862.00;0.00
5.557;0.00;25278.00;796.00;930.00;2280.00;648.00;5554.00;151.00;887.00;1172.00;12432.00;0.00;0.00;0.00;118712.00;0.00;938.00;0.00;8730.00;0.00;1111.00;4156.00;1391.00;192.00
5.563;0.00;24947.00;777.00;619.00;1832.00;1327.00;5657.00;0.00;860.00;1759.00;12119.00;0.00;154.00;0.00;118266.00;0.00;500.00;151.00;9496.00;0.00;1137.00;3557.00;1733.00;196.00
5.569;0.00;25242.00;353.00;285.00;1931.00;1106.00;6317.00;0.00;973.00;2799.00;11432.00;0.00;0.00;0.00;115693.00;0.00;1552.00;0.00;10030.00;0.00;554.00;5594.00;1629.00;0.00
5.575;0.00;26152.00;643.00;666.00;1395.00;954.00;5561.00;0.00;1541.00;1925.00;11886.00;0.00;0.00;0.00;117219.00;0.00;935.00;0.00;9315.00;0.00;949.00;4337.00;1827.00;0.00
5.580;0.00;25858.00;643.00;689.00;1524.00;1375.00;5215.00;0.00;538.00;2138.00;11803.00;0.00;166.00;0.00;117284.00;0.00;996.00;0.00;9681.00;0.00;758.00;5191.00;1578.00;0.00
5.586;0.00;25166.00;928.00;497.00;2518.00;1579.00;5268.00;190.00;1017.00;2334.00;11783.00;0.00;0.00;0.00;116711.00;0.00;853.00;0.00;9683.00;0.00;719.00;5137.00;1873.00;202.00
5.592;0.00;24422.00;452.00;1185.00;1548.00;811.00;5126.00;160.00;1283.00;1764.00;11605.00;0.00;0.00;0.00;114030.00;0.00;1349.00;0.00;9780.00;0.00;907.00;4881.00;1863.00;0.00
5.598;0.00;23244.00;555.00;847.00;1547.00;1380.00;5148.00;226.00;558.00;2190.00;11672.00;0.00;0.00;0.00;116466.00;0.00;1025.00;0.00;8215.00;0.00;1348.00;4128.00;2464.00;152.00
5.603;0.00;23476.00;494.00;437.00;2100.00;1263.00;5882.00;234.00;994.00;2450.00;11091.00;0.00;0.00;0.00;116543.00;0.00;583.00;0.00;9175.00;0.00;1065.00;4987.00;2217.00;0.00
5.609;0.00;23968.00;631.00;308.00;1826.00;1218.00;5041.00;278.00;863.00;1961.00;11989.00;0.00;0.00;0.00;117034.00;0.00;1031.00;0.00;9436.00;0.00;1115.00;5323.00;1994.00;217.00
5.615;0.00;23361.00;465.00;504.00;1557.00;1476.00;5498.00;0.00;422.00;1438.00;11550.00;0.00;0.00;0.00;114836.00;0.00;1295.00;0.00;9494.00;0.00;1179.00;3791.00;2692.00;0.00
5.620;0.00;24022.00;798.00;608.00;2293.00;1791.00;5468.00;163.00;1140.00;1434.00;11829.00;0.00;0.00;0.00;116346.00;0.00;782.00;0.00;9381.00;0.00;796.00;4650.00;2148.00;0.00
5.626;0.00;23744.00;359.00;503.00;1530.00;1200.00;5400.00;188.00;705.00;1628.00;11636.00;0.00;0.00;0.00;112641.00;0.00;1187.00;0.00;8593.00;0.00;1003.00;4813.00;2135.00;159.00
5.632;152.00;24063.00;772.00;518.00;2005.00;1511.00;4815.00;187.00;639.00;2134.00;11345.00;0.00;0.00;0.00;114372.00;0.00;664.00;0.00;8940.00;0.00;733.00;4722.00;1865.00;0.00
5.638;175.00;25023.00;471.00;862.00;2032.00;1196.00;4950.00;0.00;1276.00;1874.00;12122.00;0.00;0.00;157.00;114185.00;0.00;1054.00;0.00;8607.00;0.00;544.00;4263.00;2322.00;172.00
5.643;0.00;23599.00;1012.00;638.00;1691.00;1356.00;6160.00;181.00;684.00;2159.00;12653.00;0.00;162.00;0.00;115519.00;0.00;1192.00;0.00;9550.00;0.00;971.00;4025.00;1939.00;0.00
5.649;0.00;23795.00;707.00;744.00;2635.00;1975.00;5950.00;0.00;974.00;1511.00;11858.00;0.00;0.00;0.00;117099.00;0.00;1100.00;0.00;9655.00;0.00;879.00;4316.00;2228.00;0.00
5.655;167.00;23863.00;1009.00;746.00;1597.00;1012.00;5597.00;0.00;900.00;1930.00;12616.00;0.00;0.00;0.00;115663.00;0.00;1027.00;0.00;9398.00;0.00;922.00;4591.00;1932.00;503.00
5.660;0.00;24031.00;805.00;422.00;2443.00;721.00;5806.00;225.00;743.00;1853.00;12608.00;0.00;0.00;0.00;114457.00;0.00;578.00;0.00;7998.00;0.00;1159.00;4747.00;2122.00;181.00
5.666;0.00;24071.00;446.00;550.00;1680.00;1330.00;5875.00;164.00;997.00;2069.00;11413.00;170.00;159.00;0.00;116687.00;0.00;1181.00;151.00;8616.00;0.00;1321.00;3821.00;2026.00;193.00
5.672;159.00;25194.00;691.00;305.00;1443.00;1286.00;6153.00;0.00;1153.00;1264.00;11333.00;0.00;0.00;0.00;113745.00;0.00;790.00;0.00;9069.00;0.00;679.00;4265.00;1735.00;186.00
5.678;204.00;23662.00;996.00;1172.00;1491.00;963.00;5873.00;164.00;852.00;1831.00;11470.00;339.00;0.00;0.00;118258.00;0.00;1079.00;0.00;8736.00;0.00;932.00;4231.00;1981.00;168.00
5.683;0.00;23827.00;905.00;654.00;1574.00;1308.00;6923.00;194.00;1031.00;2229.00;12656.00;0.00;0.00;0.00;113983.00;0.00;1034.00;0.00;9499.00;0.00;918.00;4712.00;1854.00;0.00
5.689;0.00;23438.00;515.00;413.00;1606.00;1695.00;5936.00;184.00;1022.00;1486.00;12913.00;0.00;0.00;0.00;116261.00;0.00;1014.00;0.00;9074.00;0.00;1636.00;4360.00;1954.00;154.00
5.695;0.00;23341.00;499.00;938.00;1583.00;1590.00;5576.00;165.00;667.00;2153.00;12566.00;0.00;0.00;0.00;114768.00;0.00;1004.00;0.00;9020.00;0.00;1272.00;4608.00;1820.00;0.00
5.700;158.00;25209.00;924.00;504.00;1567.00;1308.00;6344.00;0.00;1460.00;1827.00;11884.00;0.00;153.00;0.00;114523.00;0.00;1029.00;0.00;9222.00;0.00;898.00;4531.00;2403.00;266.00
5.706;0.00;24855.00;813.00;700.00;1872.00;1438.00;6263.00;179.00;1172.00;1872.00;12509.00;0.00;0.00;0.00;115589.00;0.00;802.00;0.00;8510.00;0.00;1192.00;4330.00;2075.00;0.00
5.712;164.00;23759.00;459.00;574.00;1925.00;918.00;6529.00;165.00;862.00;2100.00;13876.00;0.00;171.00;0.00;115402.00;0.00;1185.00;0.00;9881.00;0.00;1069.00;4569.00;2744.00;218.00
5.718;0.00;23566.00;1180.00;358.00;1919.00;1123.00;5807.00;0.00;678.00;1497.00;11672.00;0.00;0.00;0.00;113376.00;0.00;1282.00;0.00;8199.00;0.00;1196.00;4768.00;2081.00;191.00
5.723;0.00;24932.00;532.00;491.00;2440.00;1450.00;5901.00;0.00;1380.00;1690.00;12797.00;153.00;0.00;0.00;114864.00;0.00;1105.00;0.00;8423.00;0.00;873.00;4207.00;1995.00;0.00
5.729;0.00;24415.00;635.00;684.00;1398.00;1475.00;5791.00;0.00;1093.00;1574.00;12630.00;0.00;187.00;0.00;112582.00;0.00;1271.00;0.00;8503.00;0.00;723.00;4708.00;2310.00;0.00
5.735;161.00;23637.00;981.00;539.00;1937.00;1265.00;5535.00;0.00;867.00;2129.00;12641.00;0.00;0.00;0.00;112928.00;0.00;944.00;0.00;9529.00;0.00;1026.00;4160.00;1973.00;0.00
5.741;183.00;22915.00;979.00;528.00;1859.00;1414.00;5772.00;151.00;963.00;1632.00;12483.00;0.00;0.00;0.00;114415.00;0.00;1200.00;0.00;8456.00;0.00;914.00;5006.00;2214.00;0.00
5.746;173.00;25090.00;860.00;1015.00;1215.00;1156.00;6260.00;225.00;588.00;1773.00;14424.00;0.00;0.00;0.00;113429.00;0.00;1313.00;0.00;9242.00;0.00;1025.00;4278.00;2392.00;0.00
5.752;154.00;23837.00;922.00;487.00;1635.00;1389.00;5827.00;153.00;1136.00;1729.00;12567.00;0.00;0.00;0.00;114445.00;0.00;1550.00;206.00;8312.00;0.00;999.00;5169.00;2244.00;0.00
5.758;0.00;22576.00;740.00;687.00;2066.00;1642.00;5236.00;380.00;1167.00;1132.00;11549.00;0.00;0.00;0.00;114960.00;0.00;1450.00;0.00;8517.00;0.00;1334.00;3991.00;1868.00;203.00
5.763;0.00;23152.00;792.00;215.00;2149.00;1327.00;6587.00;177.00;727.00;2015.00;12263.00;172.00;0.00;0.00;115403.00;0.00;998.00;0.00;8183.00;0.00;1568.00;4174.00;2200.00;173.00
5.769;0.00;24820.00;835.00;533.00;2178.00;1365.00;6062.00;241.00;364.00;1938.00;11891.00;0.00;0.00;0.00;115494.00;0.00;1034.00;0.00;9649.00;0.00;1084.00;4239.00;2529.00;0.00
5.775;178.00;22816.00;429.00;1123.00;1600.00;1522.00;5442.00;0.00;852.00;1877.00;12433.00;0.00;0.00;0.00;114930.00;160.00;1365.00;0.00;8719.00;0.00;905.00;3858.00;2279.00;158.00
5.781;0.00;23480.00;695.00;756.00;2310.00;690.00;6770.00;0.00;697.00;1643.00;13132.00;186.00;0.00;160.00;114993.00;0.00;1710.00;0.00;9307.00;0.00;640.00;4005.00;2273.00;0.00
5.786;0.00;23532.00;630.00;807.00;1971.00;1290.00;6746.00;357.00;1192.00;2050.00;13876.00;152.00;0.00;0.00;114181.00;0.00;1524.00;0.00;7815.00;0.00;1052.00;5263.00;2502.00;0.00
5.792;0.00;24584.00;993.00;483.00;1507.00;1420.00;5862.00;221.00;1368.00;1368.00;12502.00;0.00;0.00;0.00;113296.00;0.00;1207.00;0.00;8628.00;0.00;1068.00;4699.00;2231.00;346.00
5.798;194.00;23298.00;1079.00;715.00;1783.00;1173.00;6426.00;0.00;1440.00;1482.00;12124.00;0.00;0.00;0.00;113303.00;0.00;1352.00;0.00;9568.00;0.00;736.00;4039.00;2425.00;0.00
5.804;186.00;24926.00;701.00;582.00;1635.00;1195.00;6112.00;193.00;868.00;1931.00;12309.00;158.00;0.00;0.00;112683.00;0.00;1092.00;0.00;8810.00;0.00;1069.00;4465.00;2396.00;0.00
5.809;0.00;23376.00;1239.00;378.00;1746.00;1254.00;5234.00;261.00;1217.00;1628.00;12728.00;0.00;0.00;0.00;113327.00;0.00;1545.00;153.00;9110.00;0.00;1011.00;4261.00;2340.00;0.00
5.815;0.00;24097.00;1042.00;222.00;2179.00;1438.00;4804.00;199.00;1089.00;2426.00;13361.00;319.00;201.00;0.00;111229.00;0.00;1430.00;0.00;8804.00;0.00;829.00;4849.00;2428.00;0.00
5.821;0.00;23807.00;872.00;393.00;1647.00;965.00;5399.00;181.00;947.00;1391.00;13560.00;0.00;0.00;0.00;113517.00;0.00;1441.00;0.00;8619.00;0.00;1151.00;4585.00;2456.00;0.00
5.826;0.00;24341.00;654.00;165.00;1715.00;843.00;6534.00;210.00;1147.00;1366.00;12913.00;0.00;0.00;0.00;112763.00;0.00;1257.00;0.00;9850.00;0.00;1780.00;4757.00;2150.00;167.00
5.832;0.00;22205.00;841.00;614.00;1665.00;862.00;5878.00;151.00;857.00;1961.00;13573.00;0.00;0.00;0.00;110778.00;0.00;1674.00;0.00;8739.00;0.00;1136.00;3807.00;2354.00;174.00
5.838;0.00;23180.00;928.00;237.00;1760.00;1598.00;6283.00;0.00;1282.00;1674.00;13565.00;0.00;0.00;182.00;115098.00;0.00;1612.00;0.00;8536.00;0.00;1190.00;4316.00;2529.00;311.00
5.844;162.00;24262.00;1016.00;263.00;1883.00;1189.00;6362.00;0.00;1644.00;1808.00;12401.00;157.00;0.00;0.00;112099.00;0.00;1524.00;0.00;9881.00;0.00;1147.00;4467.00;2503.00;0.00
5.849;185.00;22354.00;662.00;634.00;2256.00;1965.00;5840.00;168.00;753.00;1328.00;13238.00;0.00;0.00;0.00;114048.00;0.00;1801.00;0.00;9199.00;0.00;1147.00;3486.00;2745.00;155.00
