Sample Name, Sample-87
Time, February 05 16:11:43 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.9033, 1.25
231.0, 1.9148, 1.22
232.0, 1.9194, 1.20
233.0, 1.9259, 1.19
234.0, 1.9318, 1.17
235.0, 1.9364, 1.16
236.0, 1.9403, 1.15
237.0, 1.9397, 1.15
238.0, 1.9376, 1.15
239.0, 1.9391, 1.15
240.0, 1.9366, 1.16
241.0, 1.9336, 1.17
242.0, 1.9302, 1.17
243.0, 1.9263, 1.18
244.0, 1.9208, 1.20
245.0, 1.9158, 1.21
246.0, 1.9099, 1.23
247.0, 1.9014, 1.25
248.0, 1.8943, 1.28
249.0, 1.8830, 1.31
250.0, 1.8760, 1.33
251.0, 1.8723, 1.34
252.0, 1.8629, 1.37
253.0, 1.8546, 1.40
254.0, 1.8493, 1.41
255.0, 1.8406, 1.44
256.0, 1.8340, 1.47
257.0, 1.8246, 1.50
258.0, 1.8236, 1.50
259.0, 1.8065, 1.56
260.0, 1.7955, 1.60
261.0, 1.7888, 1.63
262.0, 1.7800, 1.66
263.0, 1.7701, 1.70
264.0, 1.7603, 1.74
265.0, 1.7486, 1.78
266.0, 1.7402, 1.82
267.0, 1.7319, 1.85
268.0, 1.7250, 1.88
269.0, 1.7185, 1.91
270.0, 1.7106, 1.95
271.0, 1.7043, 1.98
272.0, 1.6978, 2.01
273.0, 1.6913, 2.04
274.0, 1.6798, 2.09
275.0, 1.6751, 2.11
276.0, 1.6695, 2.14
277.0, 1.6656, 2.16
278.0, 1.6624, 2.18
279.0, 1.6586, 2.19
280.0, 1.6559, 2.21
281.0, 1.6499, 2.24
282.0, 1.6435, 2.27
283.0, 1.6405, 2.29
284.0, 1.6357, 2.31
285.0, 1.6322, 2.33
286.0, 1.6261, 2.37
287.0, 1.6209, 2.39
288.0, 1.6144, 2.43
289.0, 1.6111, 2.45
290.0, 1.6068, 2.47
291.0, 1.6006, 2.51
292.0, 1.5974, 2.53
293.0, 1.5912, 2.56
294.0, 1.5872, 2.59
295.0, 1.5803, 2.63
296.0, 1.5769, 2.65
